1.91	 -0.33	 1.00
1.39	 -0.58	 1.00
0.98	 -1.59	 0.00
-1.03	 -0.80	 0.00
1.29	 -1.87	 1.00
-1.39	 -0.90	 0.00
-0.94	 -3.38	 0.00
0.46	 -1.05	 0.00
-1.94	 0.23	 0.00
-0.45	 -0.23	 0.00
-0.57	 -1.51	 0.00
1.32	 -0.57	 1.00
0.87	 -1.43	 1.00
0.55	 -0.87	 1.00
0.77	 -1.65	 1.00
0.91	 -0.65	 1.00
-0.52	 -0.52	 0.00
2.41	 -0.71	 1.00
-3.07	 0.30	 0.00
0.93	 -0.96	 1.00
1.84	 -0.44	 1.00
0.88	 -1.27	 1.00
1.39	 -0.19	 1.00
0.89	 -1.13	 1.00
0.11	 -2.78	 0.00
-2.04	 -0.66	 0.00
0.12	 -1.61	 0.00
1.19	 -0.58	 1.00
-0.01	 -1.19	 0.00
-0.19	 -2.03	 1.00
-0.27	 -2.96	 0.00
1.78	 -0.68	 1.00
0.64	 -1.05	 1.00
-0.38	 -0.72	 0.00
-1.00	 -0.90	 0.00
-0.37	 0.60	 0.00
-0.54	 -1.87	 1.00
-0.55	 -0.34	 0.00
0.09	 0.08	 0.00
-1.86	 -0.67	 0.00
-0.71	 -1.73	 0.00
-1.38	 -1.59	 0.00
2.27	 -0.07	 1.00
0.08	 -2.12	 1.00
1.46	 -0.43	 1.00
0.34	 -1.45	 0.00
0.18	 0.06	 0.00
-0.77	 -0.40	 0.00
0.51	 -1.94	 0.00
-1.72	 -1.78	 0.00
2.06	 0.52	 1.00
-2.75	 -0.54	 0.00
-1.80	 -1.09	 0.00
0.33	 -2.40	 0.00
-0.67	 -0.68	 0.00
1.16	 -0.96	 1.00
-2.05	 -0.63	 0.00
1.25	 -0.34	 1.00
-1.10	 -3.76	 0.00
-0.76	 -0.06	 0.00
-2.12	 -0.11	 0.00
1.34	 -0.94	 1.00
1.24	 -1.05	 1.00
0.63	 -1.54	 1.00
-2.22	 -0.20	 0.00
1.35	 0.22	 1.00
1.20	 0.32	 1.00
-1.45	 -0.79	 0.00
-0.16	 -2.17	 0.00
0.78	 -1.37	 1.00
1.58	 -0.26	 1.00
0.56	 -1.22	 1.00
-0.58	 -0.55	 0.00
-4.03	 -0.11	 0.00
1.05	 -1.24	 1.00
